FileName,Well,Sample Description,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],Peak Molarity [nmol/l],% Integrated Area,Peak Comment,Observations
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H4,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL3,Electronic Ladder,25,5.22,,321,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL3,Electronic Ladder,50,2.25,,69.3,11.11,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL3,Electronic Ladder,100,2.37,,36.5,11.71,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL3,Electronic Ladder,200,2.47,,19.0,12.20,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL3,Electronic Ladder,300,2.55,,13.1,12.56,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL3,Electronic Ladder,400,2.57,,9.87,12.66,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL3,Electronic Ladder,500,2.71,,8.33,13.36,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL3,Electronic Ladder,700,2.46,,5.41,12.15,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL3,Electronic Ladder,1000,2.89,,4.44,14.25,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL3,Electronic Ladder,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A5,,25,7.30,,449,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A5,,75,3.51,,71.8,25.69,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A5,,97,1.23,,19.4,9.00,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A5,,142,8.91,,96.6,65.30,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A5,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B5,,25,6.66,,410,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B5,,81,3.37,,64.0,19.37,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B5,,98,1.59,,25.0,9.12,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B5,,143,12.4,,134,71.51,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B5,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C5,,25,6.66,,410,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C5,,82,3.85,,72.5,23.67,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C5,,96,1.56,,24.8,9.58,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C5,,140,10.8,,119,66.75,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C5,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D5,,25,6.81,,419,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D5,,80,3.20,,61.7,20.05,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D5,,97,1.17,,18.5,7.35,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D5,,143,11.6,,124,72.60,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D5,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E5,,25,6.88,,423,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E5,,75,4.78,,97.9,31.14,,
