FileName,Well,Sample Description,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],Peak Molarity [nmol/l],% Integrated Area,Peak Comment,Observations
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,E4,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,F4,,25,8.55,,526,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,F4,,35,0.697,,31.1,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,F4,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,G4,,25,8.67,,533,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,G4,,36,0.515,,22.3,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,G4,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,H4,,25,9.13,,562,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,H4,,34,0.719,,32.7,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,H4,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL3,Electronic Ladder,25,5.22,,321,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL3,Electronic Ladder,50,2.25,,69.3,11.11,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL3,Electronic Ladder,100,2.37,,36.5,11.71,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL3,Electronic Ladder,200,2.47,,19.0,12.20,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL3,Electronic Ladder,300,2.55,,13.1,12.56,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL3,Electronic Ladder,400,2.57,,9.87,12.66,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL3,Electronic Ladder,500,2.71,,8.33,13.36,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL3,Electronic Ladder,700,2.46,,5.41,12.15,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL3,Electronic Ladder,1000,2.89,,4.44,14.25,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL3,Electronic Ladder,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,A5,,25,8.34,,513,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,A5,,34,0.721,,32.6,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,A5,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B5,,25,9.34,,575,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B5,,36,0.568,,24.5,70.93,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B5,,45,0.233,,7.94,29.07,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B5,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C5,,25,8.45,,520,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C5,,35,0.482,,21.1,74.46,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C5,,45,0.165,,5.63,25.54,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C5,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,D5,,25,8.40,,517,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,D5,,34,0.508,,22.7,75.35,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,D5,,45,0.166,,5.75,24.65,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,D5,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,E5,,25,7.84,,483,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,E5,,44,0.270,,9.34,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,E5,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,F5,,25,8.14,,501,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,F5,,35,0.580,,25.7,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,F5,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,G5,,25,8.64,,532,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,G5,,44,0.270,,9.48,67.02,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,G5,,49,0.133,,4.20,32.98,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,G5,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,H5,,25,8.54,,526,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,H5,,36,0.439,,18.7,67.61,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,H5,,45,0.210,,7.15,32.39,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,H5,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,A6,,25,8.60,,529,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,A6,,45,0.374,,12.8,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,A6,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B6,,25,8.12,,500,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B6,,45,0.440,,15.0,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B6,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C6,,25,8.89,,547,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C6,,45,0.592,,20.1,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C6,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,D6,,25,8.57,,527,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,D6,,45,0.472,,16.2,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,D6,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,E6,,25,8.30,,511,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,E6,,36,0.341,,14.4,54.72,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,E6,,45,0.282,,9.58,45.28,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,E6,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,F6,,25,8.55,,526,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,F6,,38,0.348,,14.0,57.13,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,F6,,44,0.261,,9.10,42.87,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,F6,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,G6,,25,8.40,,517,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,G6,,44,0.468,,16.5,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,G6,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,H6,,25,8.81,,542,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,H6,,43,0.553,,19.7,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,H6,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL4,Electronic Ladder,25,5.22,,321,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL4,Electronic Ladder,50,2.25,,69.3,11.11,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL4,Electronic Ladder,100,2.37,,36.5,11.71,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL4,Electronic Ladder,200,2.47,,19.0,12.20,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL4,Electronic Ladder,300,2.55,,13.1,12.56,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL4,Electronic Ladder,400,2.57,,9.87,12.66,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL4,Electronic Ladder,500,2.71,,8.33,13.36,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL4,Electronic Ladder,700,2.46,,5.41,12.15,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL4,Electronic Ladder,1000,2.89,,4.44,14.25,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL4,Electronic Ladder,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,A7,,25,8.94,,550,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,A7,,35,0.603,,26.3,73.90,,
