FileName,Well,Sample Description,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],Peak Molarity [nmol/l],% Integrated Area,Peak Comment,Observations
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C2,LPAManualBuild1_Res,222,0.0275,,0.191,4.98,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C2,LPAManualBuild1_Res,338,0.0347,,0.158,6.29,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C2,LPAManualBuild1_Res,473,0.184,,0.598,33.29,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C2,LPAManualBuild1_Res,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D2,LPAManualBuild1_Res,25,6.45,,397,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D2,LPAManualBuild1_Res,98,0.311,,4.87,58.40,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D2,LPAManualBuild1_Res,221,0.0237,,0.165,4.45,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D2,LPAManualBuild1_Res,338,0.0334,,0.152,6.28,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D2,LPAManualBuild1_Res,475,0.164,,0.531,30.86,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D2,LPAManualBuild1_Res,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E2,LPAManualBuild1_Res,25,6.24,,384,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E2,LPAManualBuild1_Res,97,0.332,,5.25,56.64,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E2,LPAManualBuild1_Res,222,0.0294,,0.204,5.02,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E2,LPAManualBuild1_Res,338,0.0388,,0.176,6.61,,
